Company_Name,Sector,Stage,Location,What_it_does,Funding_Amount($),Year,Investor,Redistributed_sector
Backpacker Panda Holidays Private Limited,Tourism,Series A,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,1400000.0,2018,Inflection Point Ventures,Travel & Hospitality
Shape (School Health and Physical Education),Education,Seed,Pune,Physical education start up,200000.0,2018,Inflection Point Ventures,Education
Placio,Hospitality,Seed,Noida,Placio is a student housing and a complete broker-free platform.,2000000.0,2018,Inflection Point Ventures,Health & Medical
Aviom India Housing Finance,Finance,Series A,New Delhi,Delhi based housing finance company.,3000000.0,2018,Inflection Point Ventures,Finance
GenRobotic,Market Research,Seed,Trivandrum,A Robotic Company.,3000000.0,2018,Inflection Point Ventures,Others
HeyHolidays,Tourism,Seed,Bangalore,"HeyHolidays, a global player in online vacation rentals.",1000000.0,2018,Inflection Point Ventures,Travel & Hospitality
Pratilipi,Digital Media,Series A,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages,4300000.0,2018,Inflection Point Ventures,Technology & IT
SectorQube,Consumer Electronics,Seed,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,3000000.0,2018,Inflection Point Ventures,Others
Food Memories,Food and Beverage,Seed,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,3000000.0,2018,Inflection Point Ventures,Food & Beverage
ZAMROO,Internet,Seed,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,3000000.0,2018,Inflection Point Ventures,Others
Silversparro Technologies Pvt. Ltd,Analytics,Seed,Gurgaon,Silversparro is a deep learning technology solution provider.,300000.0,2018,Inflection Point Ventures,Technology & IT
Creator’s Gurukul,Facilities Support Services,Angel,Gurgaon,A coworking space provider.,3000000.0,2018,Inflection Point Ventures,E-Commerce & Retail
Emflux Motors,Automotive,Seed,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,364846.0,2018,Inflection Point Ventures,Transport
Tricog Health Services Pvt Ltd,Health Care,Series A,Bangalore,Predictive Healthcare Analytics Company,4000000.0,2018,Inflection Point Ventures,Health & Medical
Scapic,Cloud Computing,Seed,Bangalore,Virtual/Augmented Reality Start Up .,500000.0,2018,Inflection Point Ventures,Technology & IT
6Degree,Fashion,Seed,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,400000.0,2018,Inflection Point Ventures,E-Commerce & Retail
Chrysalis (EZ Vidya),Education,Seed,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,3000000.0,2018,Inflection Point Ventures,Education
Ekincare,Medical,Series A,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,1500000.0,2018,Inflection Point Ventures,Health & Medical
Streo,Music Streaming,Seed,Gurgaon,"Live stream music from nightclubs, bars & festivals!",3000000.0,2018,Inflection Point Ventures,Others
Groww,Finance,Seed,Kormangala,Groww offers a new way of investing money.,120000.0,2018,Inflection Point Ventures,Finance
Cell Propulsion,FinTech,Seed,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,3000000.0,2018,Inflection Point Ventures,Finance
Chezuba,Internet,Angel,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,3000000.0,2018,Inflection Point Ventures,Others
